日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2015-12-31,'600642,申能股份,7.55,7.65,7.54,7.56,7.57,-0.02,-0.2642,0.3047,13872256,105223019.0,34367889285.8,34367889285.8
2015-12-30,'600642,申能股份,7.57,7.59,7.52,7.54,7.57,0.0,0.0,0.2399,10918563,82437837.0,34458930052.1,34458930052.1
2015-12-29,'600642,申能股份,7.57,7.58,7.49,7.52,7.54,0.03,0.3979,0.2548,11596992,87389612.0,34458930052.1,34458930052.1
2015-12-28,'600642,申能股份,7.54,7.76,7.53,7.73,7.7,-0.16,-2.0779,0.4279,19479064,149139904.0,34322368902.6,34322368902.6
2015-12-25,'600642,申能股份,7.7,7.75,7.65,7.65,7.65,0.05,0.6536,0.3293,14989733,115410131.0,35050695033.2,35050695033.2
2015-12-24,'600642,申能股份,7.65,7.72,7.57,7.69,7.72,-0.07,-0.9067,0.4728,21521283,164253914.0,34823093117.4,34823093117.4
2015-12-23,'600642,申能股份,7.72,7.83,7.7,7.75,7.82,-0.1,-1.2788,0.6873,31288242,242600969.0,35141735799.5,35141735799.5
2015-12-22,'600642,申能股份,7.82,7.97,7.78,7.84,7.64,0.18,2.356,1.2139,55255126,434678975.0,35596939631.1,35596939631.1
2015-12-21,'600642,申能股份,7.64,7.68,7.52,7.54,7.52,0.12,1.5957,0.6524,29697624,226018030.0,34777572734.2,34777572734.2
2015-12-18,'600642,申能股份,7.52,7.59,7.49,7.51,7.53,-0.01,-0.1328,0.4768,21703590,163412281.0,34231328136.3,34231328136.3
2015-12-17,'600642,申能股份,7.53,7.54,7.42,7.43,7.38,0.15,2.0325,0.6068,27619888,206971929.0,34276848519.5,34276848519.5
2015-12-16,'600642,申能股份,7.38,7.43,7.36,7.41,7.39,-0.01,-0.1353,0.3281,14934804,110482317.0,33594042772.1,33594042772.1
2015-12-15,'600642,申能股份,7.39,7.52,7.35,7.49,7.49,-0.1,-1.3351,0.4788,21794820,161815517.0,33639563155.2,33639563155.2
2015-12-14,'600642,申能股份,7.49,7.56,7.25,7.29,7.32,0.17,2.3224,0.5453,24820220,183632402.0,34094766986.8,34094766986.8
2015-12-11,'600642,申能股份,7.32,7.42,7.29,7.39,7.38,-0.06,-0.813,0.3477,15827134,116154469.0,33320920473.1,33320920473.1
2015-12-10,'600642,申能股份,7.38,7.49,7.36,7.41,7.41,-0.03,-0.4049,0.396,18027931,133813272.0,33594042772.1,33594042772.1
2015-12-09,'600642,申能股份,7.41,7.48,7.4,7.42,7.45,-0.04,-0.5369,0.316,14385104,106967180.0,33730603921.6,33730603921.6
2015-12-08,'600642,申能股份,7.45,7.64,7.43,7.62,7.67,-0.22,-2.8683,0.4051,18441622,138865869.0,33912685454.2,33912685454.2
2015-12-07,'600642,申能股份,7.67,7.7,7.61,7.68,7.65,0.02,0.2614,0.2892,13165761,100764695.0,34914133883.7,34914133883.7
2015-12-04,'600642,申能股份,7.65,7.82,7.62,7.79,7.84,-0.19,-2.4235,0.5,22760197,175514010.0,34823093117.4,34823093117.4
2015-12-03,'600642,申能股份,7.84,7.86,7.75,7.86,7.86,-0.02,-0.2545,0.4444,20228160,158272053.0,35687980397.4,35687980397.4
2015-12-02,'600642,申能股份,7.86,7.87,7.55,7.63,7.65,0.21,2.7451,0.5947,27071553,209766308.0,35779021163.8,35779021163.8
2015-12-01,'600642,申能股份,7.65,7.73,7.54,7.6,7.59,0.06,0.7905,0.4544,20683505,157532821.0,34823093117.4,34823093117.4
2015-11-30,'600642,申能股份,7.59,7.68,7.33,7.6,7.53,0.06,0.7968,0.5749,26167521,197203874.0,34549970818.4,34549970818.4
2015-11-27,'600642,申能股份,7.53,8.0,7.48,7.99,8.0,-0.47,-5.875,0.8652,39384719,304198450.0,34276848519.5,34276848519.5
2015-11-26,'600642,申能股份,8.0,8.05,7.98,7.99,7.99,0.01,0.1252,0.5681,25860006,207252321.0,36416306528.0,36416306528.0
2015-11-25,'600642,申能股份,7.99,8.0,7.91,7.95,7.97,0.02,0.2509,0.5279,24031957,191308687.0,36370786144.8,36370786144.8
2015-11-24,'600642,申能股份,7.97,8.05,7.89,8.03,8.03,-0.06,-0.7472,0.4838,22022374,174783718.0,36279745378.5,36279745378.5
2015-11-23,'600642,申能股份,8.03,8.08,8.01,8.05,8.05,-0.02,-0.2484,0.6295,28657322,230500143.0,36552867677.5,36552867677.5
2015-11-20,'600642,申能股份,8.05,8.09,8.02,8.08,8.07,-0.02,-0.2478,0.5547,25251478,203544334.0,36643908443.8,36643908443.8
2015-11-19,'600642,申能股份,8.07,8.09,7.97,8.07,8.02,0.05,0.6234,0.5693,25916130,207902880.0,36734949210.1,36734949210.1
2015-11-18,'600642,申能股份,8.02,8.15,8.0,8.1,8.1,-0.08,-0.9877,0.5092,23180620,186843817.0,36507347294.3,36507347294.3
2015-11-17,'600642,申能股份,8.1,8.25,8.08,8.13,8.08,0.02,0.2475,0.8588,39093830,319950404.0,36871510359.6,36871510359.6
2015-11-16,'600642,申能股份,8.08,8.09,7.93,8.01,8.13,-0.05,-0.615,0.6633,30191774,242690704.0,36780469593.3,36780469593.3
2015-11-13,'600642,申能股份,8.13,8.28,8.06,8.08,8.15,-0.02,-0.2454,0.8112,36924142,302388400.0,37008071509.1,37008071509.1
2015-11-12,'600642,申能股份,8.15,8.28,8.06,8.28,8.27,-0.12,-1.451,0.8334,37937567,309078231.0,37099112275.4,37099112275.4
2015-11-11,'600642,申能股份,8.27,8.29,8.17,8.22,8.25,0.02,0.2424,0.7033,32015578,263810009.0,37645356873.3,37645356873.3
2015-11-10,'600642,申能股份,8.25,8.32,8.17,8.25,8.32,-0.07,-0.8413,0.897,40830484,336866518.0,37554316107.0,37554316107.0
2015-11-09,'600642,申能股份,8.32,8.42,8.21,8.26,8.29,0.03,0.3619,1.4865,67667440,563845256.0,37872958789.1,37872958789.1
2015-11-06,'600642,申能股份,8.29,8.36,8.02,8.07,8.06,0.23,2.8536,1.6772,76345047,622856020.0,37736397639.6,37736397639.6
2015-11-05,'600642,申能股份,8.06,8.25,7.84,7.87,7.85,0.21,2.6752,1.6246,73951762,593999740.0,36689428827.0,36689428827.0
2015-11-04,'600642,申能股份,7.85,7.87,7.56,7.58,7.54,0.31,4.1114,0.9805,44634807,346676295.0,35733500780.6,35733500780.6
2015-11-03,'600642,申能股份,7.54,7.67,7.49,7.63,7.59,-0.05,-0.6588,0.3746,17052391,129214930.0,34322368902.6,34322368902.6
2015-11-02,'600642,申能股份,7.59,7.76,7.58,7.71,7.77,-0.18,-2.3166,0.4432,20173052,155067596.0,34549970818.4,34549970818.4
2015-10-30,'600642,申能股份,7.77,7.84,7.71,7.8,7.79,-0.02,-0.2567,0.4238,19293322,149983383.0,35369337715.3,35369337715.3
